type,counts
PushEvent,407195734
CreateEvent,106545342
WatchEvent,70454137
IssueCommentEvent,68866149
PullRequestEvent,40024886
IssuesEvent,38488326
ForkEvent,26192045
DeleteEvent,15934725
PullRequestReviewCommentEvent,11936550
GollumEvent,8339059
CommitCommentEvent,4765346
MemberEvent,4554539
GistEvent,3782388
FollowEvent,3192352
ReleaseEvent,2246178
PublicEvent,738389
Event,639606
DownloadEvent,258388
TeamAddEvent,177389
ForkApplyEvent,35803
