times,type,counts
2011-02-22,PullRequestEvent,1023
2011-02-22,IssuesEvent,1648
2011-02-23,ForkEvent,1202
2011-02-23,PushEvent,21331
2011-02-23,GollumEvent,1210
2011-02-23,PublicEvent,32
2011-02-23,CommitCommentEvent,511
2011-02-23,IssuesEvent,1525
2011-02-23,FollowEvent,1427
2011-02-23,CreateEvent,5336
2011-02-23,WatchEvent,4406
2011-02-23,DeleteEvent,476
2011-02-23,ForkApplyEvent,118
2011-02-23,PullRequestEvent,941
2011-02-23,GistEvent,1211
2011-02-23,DownloadEvent,150
2011-02-23,MemberEvent,327
2011-02-24,GollumEvent,1028
2011-02-24,ForkApplyEvent,115
2011-02-24,PullRequestEvent,983
2011-02-24,DownloadEvent,161
2011-02-24,MemberEvent,378
2011-02-24,FollowEvent,1289
2011-02-24,PushEvent,21657
2011-02-24,DeleteEvent,445
2011-02-24,IssuesEvent,1701
2011-02-24,ForkEvent,1278
2011-02-24,CreateEvent,8715
2011-02-24,PublicEvent,43
2011-02-24,CommitCommentEvent,499
2011-02-24,WatchEvent,4441
2011-02-24,GistEvent,1205
2011-02-25,ForkApplyEvent,85
2011-02-25,DownloadEvent,176
2011-02-25,GistEvent,1187
2011-02-25,PublicEvent,30
2011-02-25,CommitCommentEvent,487
2011-02-25,ForkEvent,1187
2011-02-25,FollowEvent,1307
2011-02-25,MemberEvent,371
2011-02-25,IssuesEvent,1776
2011-02-25,PullRequestEvent,1055
2011-02-25,PushEvent,22016
2011-02-25,GollumEvent,1084
2011-02-25,WatchEvent,4297
2011-02-25,CreateEvent,6411
2011-02-25,DeleteEvent,678
2011-02-26,PushEvent,16942
2011-02-26,DeleteEvent,260
2011-02-26,MemberEvent,219
2011-02-26,PublicEvent,19
2011-02-26,ForkEvent,823
2011-02-26,IssuesEvent,2161
2011-02-26,PullRequestEvent,690
2011-02-26,CommitCommentEvent,452
2011-02-26,CreateEvent,4366
2011-02-26,WatchEvent,2952
2011-02-26,ForkApplyEvent,105
2011-02-26,DownloadEvent,151
2011-02-26,GistEvent,708
2011-02-26,FollowEvent,872
2011-02-26,GollumEvent,970
2011-02-27,ForkEvent,816
2011-02-27,PublicEvent,23
2011-02-27,GistEvent,874
2011-02-27,PullRequestEvent,785
2011-02-27,CreateEvent,5371
2011-02-27,PushEvent,18497
2011-02-27,GollumEvent,820
2011-02-27,WatchEvent,3183
2011-02-27,MemberEvent,163
2011-02-27,IssuesEvent,1558
2011-02-27,ForkApplyEvent,69
2011-02-27,DeleteEvent,486
2011-02-27,CommitCommentEvent,353
2011-02-27,FollowEvent,887
2011-02-27,DownloadEvent,185
2011-02-28,DownloadEvent,228
2011-02-28,ForkApplyEvent,108
2011-02-28,MemberEvent,347
2011-02-28,FollowEvent,1194
2011-02-28,GollumEvent,1027
2011-02-28,PublicEvent,48
2011-02-28,WatchEvent,4299
2011-02-28,CommitCommentEvent,597
2011-02-28,PullRequestEvent,1013
2011-02-28,PushEvent,22030
2011-02-28,IssuesEvent,2051
2011-02-28,DeleteEvent,492
2011-02-28,GistEvent,1159
2011-02-28,CreateEvent,5703
2011-02-28,ForkEvent,1093
2011-03-01,DeleteEvent,579
2011-03-01,PushEvent,23558
2011-03-01,DownloadEvent,201
2011-03-01,PublicEvent,47
2011-03-01,IssuesEvent,1759
2011-03-01,GistEvent,1294
2011-03-01,CreateEvent,6119
2011-03-01,FollowEvent,1634
2011-03-01,WatchEvent,4951
2011-03-01,ForkApplyEvent,171
2011-03-01,PullRequestEvent,1112
2011-03-01,ForkEvent,1278
2011-03-01,GollumEvent,1378
2011-03-01,CommitCommentEvent,679
2011-03-01,MemberEvent,332
2011-03-02,GollumEvent,1293
2011-03-02,FollowEvent,1761
2011-03-02,PublicEvent,54
2011-03-02,GistEvent,1379
2011-03-02,ForkEvent,1442
2011-03-02,IssuesEvent,1919
2011-03-02,PushEvent,23318
2011-03-02,PullRequestEvent,1012
2011-03-02,DownloadEvent,234
2011-03-02,DeleteEvent,695
2011-03-02,CreateEvent,6819
2011-03-02,MemberEvent,369
2011-03-02,CommitCommentEvent,588
2011-03-02,ForkApplyEvent,157
2011-03-02,WatchEvent,4939
2011-03-03,GistEvent,1313
2011-03-03,GollumEvent,1155
2011-03-03,MemberEvent,282
2011-03-03,ForkApplyEvent,120
2011-03-03,WatchEvent,4705
2011-03-03,IssuesEvent,1870
2011-03-03,PushEvent,23116
2011-03-03,DownloadEvent,203
2011-03-03,PublicEvent,47
2011-03-03,DeleteEvent,504
2011-03-03,ForkEvent,1324
2011-03-03,CreateEvent,5798
2011-03-03,FollowEvent,3440
2011-03-03,CommitCommentEvent,460
2011-03-03,PullRequestEvent,989
2011-03-04,PushEvent,21671
2011-03-04,CreateEvent,5664
2011-03-04,GollumEvent,1204
2011-03-04,MemberEvent,253
2011-03-04,ForkApplyEvent,128
2011-03-04,CommitCommentEvent,399
2011-03-04,PublicEvent,42
2011-03-04,DownloadEvent,146
2011-03-04,DeleteEvent,433
2011-03-04,FollowEvent,1549
2011-03-04,GistEvent,1556
2011-03-04,ForkEvent,1274
2011-03-04,WatchEvent,4796
2011-03-04,PullRequestEvent,993
2011-03-04,IssuesEvent,1868
2011-03-05,PullRequestEvent,598
2011-03-05,GollumEvent,724
2011-03-05,DeleteEvent,301
2011-03-05,IssuesEvent,934
2011-03-05,ForkApplyEvent,55
2011-03-05,DownloadEvent,127
2011-03-05,MemberEvent,136
2011-03-05,PublicEvent,30
2011-03-05,FollowEvent,982
2011-03-05,ForkEvent,841
2011-03-05,CreateEvent,4081
2011-03-05,WatchEvent,3007
2011-03-05,CommitCommentEvent,288
2011-03-05,GistEvent,714
2011-03-05,PushEvent,14751
2011-03-06,GollumEvent,952
2011-03-06,IssuesEvent,1424
2011-03-06,FollowEvent,1121
2011-03-06,GistEvent,984
2011-03-06,PushEvent,18709
2011-03-06,MemberEvent,192
2011-03-06,CreateEvent,4576
2011-03-06,DeleteEvent,311
2011-03-06,CommitCommentEvent,364
2011-03-06,PullRequestEvent,798
2011-03-06,ForkEvent,951
2011-03-06,DownloadEvent,134
2011-03-06,ForkApplyEvent,83
2011-03-06,WatchEvent,3315
2011-03-06,PublicEvent,38
2011-03-07,ForkEvent,1142
2011-03-07,MemberEvent,390
2011-03-07,FollowEvent,1339
2011-03-07,PushEvent,21709
2011-03-07,GollumEvent,1102
2011-03-07,CommitCommentEvent,423
2011-03-07,DeleteEvent,625
2011-03-07,CreateEvent,6268
2011-03-07,GistEvent,1136
2011-03-07,IssuesEvent,1623
2011-03-07,WatchEvent,4612
2011-03-07,ForkApplyEvent,133
2011-03-07,PullRequestEvent,965
2011-03-07,PublicEvent,42
2011-03-07,DownloadEvent,188
2011-03-08,IssuesEvent,1943
2011-03-08,CommitCommentEvent,714
2011-03-08,GollumEvent,1295
2011-03-08,PushEvent,24800
2011-03-08,PullRequestEvent,1105
2011-03-08,PublicEvent,47
2011-03-08,MemberEvent,282
2011-03-08,DeleteEvent,566
2011-03-08,DownloadEvent,136
2011-03-08,WatchEvent,5506
2011-03-08,GistEvent,1411
2011-03-08,ForkEvent,1333
2011-03-08,FollowEvent,1668
2011-03-08,CreateEvent,6862
2011-03-08,ForkApplyEvent,152
2011-03-09,IssuesEvent,1657
2011-03-09,CreateEvent,6167
2011-03-09,PullRequestEvent,1089
2011-03-09,MemberEvent,280
2011-03-09,CommitCommentEvent,595
2011-03-09,DeleteEvent,1012
2011-03-09,DownloadEvent,175
2011-03-09,FollowEvent,1525
2011-03-09,ForkApplyEvent,143
2011-03-09,ForkEvent,1255
2011-03-09,GistEvent,1277
2011-03-09,WatchEvent,5149
2011-03-09,PublicEvent,40
2011-03-09,GollumEvent,1171
2011-03-09,PushEvent,22436
2011-03-10,FollowEvent,1541
2011-03-10,PullRequestEvent,1099
2011-03-10,MemberEvent,300
2011-03-10,WatchEvent,5375
2011-03-10,GollumEvent,1110
2011-03-10,CommitCommentEvent,576
2011-03-10,PushEvent,23000
2011-03-10,CreateEvent,5879
2011-03-10,DeleteEvent,531
2011-03-10,PublicEvent,39
2011-03-10,ForkApplyEvent,111
2011-03-10,ForkEvent,1243
2011-03-10,DownloadEvent,234
2011-03-10,GistEvent,1313
2011-03-10,IssuesEvent,2188
2011-03-11,DownloadEvent,189
2011-03-11,MemberEvent,291
2011-03-11,PushEvent,22391
2011-03-11,DeleteEvent,527
2011-03-11,PullRequestEvent,938
2011-03-11,ForkEvent,1182
2011-03-11,WatchEvent,4774
2011-03-11,GollumEvent,1197
2011-03-11,IssuesEvent,1553
2011-03-11,CreateEvent,5516
2011-03-11,CommitCommentEvent,518
2011-03-11,PublicEvent,42
2011-03-11,FollowEvent,1528
2011-03-11,GistEvent,1164
2011-03-11,ForkApplyEvent,97
2011-03-12,IssuesEvent,1264
2011-03-12,ForkEvent,902
2011-03-12,ForkApplyEvent,79
2011-03-12,DeleteEvent,340
2011-03-12,CommitCommentEvent,333
2011-03-12,WatchEvent,3454
2011-03-12,PushEvent,15860
2011-03-12,PullRequestEvent,650
2011-03-12,DownloadEvent,252
2011-03-12,PublicEvent,33
2011-03-12,GollumEvent,654
2011-03-12,FollowEvent,1101
2011-03-12,GistEvent,732
2011-03-12,MemberEvent,153
2011-03-12,CreateEvent,4274
2011-03-13,ForkEvent,895
2011-03-13,DeleteEvent,269
2011-03-13,GistEvent,855
2011-03-13,ForkApplyEvent,117
2011-03-13,PullRequestEvent,650
2011-03-13,CreateEvent,5080
2011-03-13,PushEvent,18232
2011-03-13,DownloadEvent,181
2011-03-13,FollowEvent,1004
2011-03-13,IssuesEvent,1462
2011-03-13,WatchEvent,3620
2011-03-13,GollumEvent,867
2011-03-13,CommitCommentEvent,386
2011-03-13,MemberEvent,175
2011-03-13,PublicEvent,22
2011-03-14,DeleteEvent,428
2011-03-14,IssuesEvent,2384
2011-03-14,ForkApplyEvent,113
2011-03-14,PublicEvent,31
2011-03-14,DownloadEvent,221
2011-03-14,CommitCommentEvent,568
2011-03-14,ForkEvent,1180
2011-03-14,FollowEvent,1322
2011-03-14,WatchEvent,4513
2011-03-14,GistEvent,970
2011-03-14,CreateEvent,8675
2011-03-14,PushEvent,22615
2011-03-14,GollumEvent,1083
2011-03-14,PullRequestEvent,1018
2011-03-14,MemberEvent,323
2011-03-15,CommitCommentEvent,635
2011-03-15,DeleteEvent,631
2011-03-15,ForkEvent,1338
2011-03-15,MemberEvent,361
2011-03-15,PushEvent,25083
2011-03-15,FollowEvent,1470
2011-03-15,PullRequestEvent,1210
2011-03-15,CreateEvent,6071
2011-03-15,GollumEvent,1209
2011-03-15,ForkApplyEvent,140
2011-03-15,IssuesEvent,2129
2011-03-15,DownloadEvent,251
2011-03-15,WatchEvent,5138
2011-03-15,GistEvent,1213
2011-03-15,PublicEvent,41
2011-03-16,DownloadEvent,162
2011-03-16,FollowEvent,1672
2011-03-16,WatchEvent,4929
2011-03-16,PushEvent,27180
2011-03-16,GistEvent,1341
2011-03-16,PublicEvent,53
2011-03-16,CommitCommentEvent,701
2011-03-16,MemberEvent,354
2011-03-16,CreateEvent,6205
2011-03-16,PullRequestEvent,1222
2011-03-16,ForkEvent,1326
2011-03-16,DeleteEvent,1100
2011-03-16,IssuesEvent,1912
2011-03-16,ForkApplyEvent,111
2011-03-16,GollumEvent,1256
2011-03-17,DownloadEvent,221
2011-03-17,CreateEvent,6153
2011-03-17,WatchEvent,4887
2011-03-17,CommitCommentEvent,709
2011-03-17,ForkEvent,1451
2011-03-17,PullRequestEvent,1135
2011-03-17,GistEvent,1259
2011-03-17,PublicEvent,53
2011-03-17,IssuesEvent,1820
2011-03-17,MemberEvent,323
2011-03-17,PushEvent,24301
2011-03-17,ForkApplyEvent,108
2011-03-17,DeleteEvent,549
2011-03-17,GollumEvent,1195
2011-03-17,FollowEvent,1686
2011-03-18,ForkEvent,1506
2011-03-18,PullRequestEvent,1101
2011-03-18,IssuesEvent,1704
2011-03-18,PushEvent,22679
2011-03-18,FollowEvent,1423
2011-03-18,CommitCommentEvent,607
2011-03-18,PublicEvent,32
2011-03-18,ForkApplyEvent,117
2011-03-18,WatchEvent,4810
2011-03-18,GollumEvent,1054
2011-03-18,MemberEvent,301
2011-03-18,DeleteEvent,410
2011-03-18,CreateEvent,5839
2011-03-18,DownloadEvent,234
2011-03-18,GistEvent,1211
2011-03-19,GistEvent,728
2011-03-19,PushEvent,17011
2011-03-19,DeleteEvent,411
2011-03-19,PublicEvent,18
2011-03-19,GollumEvent,726
2011-03-19,ForkApplyEvent,96
2011-03-19,IssuesEvent,1288
2011-03-19,MemberEvent,215
2011-03-19,WatchEvent,3233
2011-03-19,CommitCommentEvent,339
2011-03-19,PullRequestEvent,702
2011-03-19,DownloadEvent,253
2011-03-19,FollowEvent,1047
2011-03-19,CreateEvent,4472
2011-03-19,ForkEvent,899
2011-03-20,DeleteEvent,502
2011-03-20,CreateEvent,4679
