times,type,counts
2012-06-09,IssuesEvent,3989
2012-06-09,PushEvent,39550
2012-06-09,ForkEvent,2728
2012-06-09,IssueCommentEvent,5702
2012-06-09,PullRequestEvent,2129
2012-06-09,CommitCommentEvent,767
2012-06-10,DeleteEvent,445
2012-06-10,GistEvent,3254
2012-06-10,GollumEvent,1508
2012-06-10,PushEvent,42782
2012-06-10,DownloadEvent,351
2012-06-10,IssueCommentEvent,5461
2012-06-10,MemberEvent,256
2012-06-10,CreateEvent,21013
2012-06-10,WatchEvent,8305
2012-06-10,FollowEvent,1971
2012-06-10,PullRequestReviewCommentEvent,484
2012-06-10,PullRequestEvent,1994
2012-06-10,ForkEvent,2710
2012-06-10,CommitCommentEvent,741
2012-06-10,IssuesEvent,3676
2012-06-10,PublicEvent,70
2012-06-11,WatchEvent,11619
2012-06-11,DownloadEvent,450
2012-06-11,GollumEvent,2180
2012-06-11,PublicEvent,112
2012-06-11,PullRequestReviewCommentEvent,974
2012-06-11,IssueCommentEvent,10199
2012-06-11,CommitCommentEvent,1397
2012-06-11,FollowEvent,2889
2012-06-11,ForkEvent,4179
2012-06-11,IssuesEvent,5914
2012-06-11,GistEvent,3533
2012-06-11,CreateEvent,17836
2012-06-11,PullRequestEvent,4101
2012-06-11,DeleteEvent,712
2012-06-11,MemberEvent,522
2012-06-11,PushEvent,58634
2012-06-12,WatchEvent,12659
2012-06-12,PullRequestEvent,4582
2012-06-12,PullRequestReviewCommentEvent,1332
2012-06-12,PushEvent,61567
2012-06-12,GollumEvent,2288
2012-06-12,MemberEvent,600
2012-06-12,IssueCommentEvent,10556
2012-06-12,ForkEvent,4900
2012-06-12,PublicEvent,113
2012-06-12,DownloadEvent,553
2012-06-12,GistEvent,5131
2012-06-12,IssuesEvent,6024
2012-06-12,CommitCommentEvent,1370
2012-06-12,FollowEvent,3266
2012-06-12,CreateEvent,23366
2012-06-12,DeleteEvent,779
2012-06-13,CommitCommentEvent,1356
2012-06-13,GistEvent,4262
2012-06-13,PullRequestEvent,4250
2012-06-13,DownloadEvent,573
2012-06-13,DeleteEvent,778
2012-06-13,IssueCommentEvent,10480
2012-06-13,PullRequestReviewCommentEvent,1328
2012-06-13,MemberEvent,510
2012-06-13,ForkEvent,4829
2012-06-13,PublicEvent,140
2012-06-13,PushEvent,63079
2012-06-13,FollowEvent,4355
2012-06-13,GollumEvent,2367
2012-06-13,IssuesEvent,6242
2012-06-13,WatchEvent,12849
2012-06-13,CreateEvent,23740
2012-06-14,MemberEvent,552
2012-06-14,GollumEvent,2345
2012-06-14,FollowEvent,3333
2012-06-14,IssueCommentEvent,10099
2012-06-14,PublicEvent,130
2012-06-14,GistEvent,4237
2012-06-14,DownloadEvent,531
2012-06-14,ForkEvent,4569
2012-06-14,CommitCommentEvent,1585
2012-06-14,DeleteEvent,676
2012-06-14,WatchEvent,12687
2012-06-14,IssuesEvent,7642
2012-06-14,PullRequestReviewCommentEvent,1306
2012-06-14,PullRequestEvent,4279
2012-06-14,PushEvent,61747
2012-06-14,CreateEvent,24794
2012-06-15,CreateEvent,22606
2012-06-15,DownloadEvent,526
2012-06-15,PullRequestEvent,3850
2012-06-15,PushEvent,57862
2012-06-15,GistEvent,3895
2012-06-15,PullRequestReviewCommentEvent,1029
2012-06-15,PublicEvent,118
2012-06-15,ForkEvent,4024
2012-06-15,MemberEvent,407
2012-06-15,CommitCommentEvent,1155
2012-06-15,FollowEvent,2842
2012-06-15,IssueCommentEvent,8933
2012-06-15,IssuesEvent,5877
2012-06-15,DeleteEvent,685
2012-06-15,GollumEvent,2168
2012-06-15,WatchEvent,11909
2012-06-16,PullRequestReviewCommentEvent,359
2012-06-16,FollowEvent,1846
2012-06-16,IssuesEvent,3264
2012-06-16,GistEvent,2714
2012-06-16,CreateEvent,17729
2012-06-16,PushEvent,40002
2012-06-16,IssueCommentEvent,4969
2012-06-16,GollumEvent,1452
2012-06-16,CommitCommentEvent,747
2012-06-16,MemberEvent,312
2012-06-16,PublicEvent,71
2012-06-16,PullRequestEvent,1810
2012-06-16,DownloadEvent,406
2012-06-16,ForkEvent,2585
2012-06-16,WatchEvent,8008
2012-06-16,DeleteEvent,370
2012-06-17,CreateEvent,18747
2012-06-17,ForkEvent,2456
2012-06-17,FollowEvent,1656
2012-06-17,PublicEvent,47
2012-06-17,IssueCommentEvent,5157
2012-06-17,GollumEvent,1375
2012-06-17,PushEvent,38889
2012-06-17,DeleteEvent,373
2012-06-17,PullRequestReviewCommentEvent,400
2012-06-17,IssuesEvent,3216
2012-06-17,GistEvent,2022
2012-06-17,WatchEvent,7645
2012-06-17,CommitCommentEvent,864
2012-06-17,MemberEvent,246
2012-06-17,DownloadEvent,519
2012-06-17,PullRequestEvent,1636
2012-06-18,PullRequestEvent,3809
2012-06-18,CommitCommentEvent,1487
2012-06-18,WatchEvent,13049
2012-06-18,ForkEvent,4166
2012-06-18,GollumEvent,2335
2012-06-18,PushEvent,58165
2012-06-18,CreateEvent,22035
2012-06-18,IssuesEvent,5678
2012-06-18,FollowEvent,2873
2012-06-18,DeleteEvent,711
2012-06-18,GistEvent,3526
2012-06-18,PullRequestReviewCommentEvent,1215
2012-06-18,IssueCommentEvent,9761
2012-06-18,PublicEvent,138
2012-06-18,DownloadEvent,481
2012-06-18,MemberEvent,494
2012-06-19,CreateEvent,23141
2012-06-19,IssuesEvent,6633
2012-06-19,DeleteEvent,778
2012-06-19,FollowEvent,3365
2012-06-19,PullRequestEvent,4302
2012-06-19,DownloadEvent,523
2012-06-19,CommitCommentEvent,1599
2012-06-19,ForkEvent,4741
2012-06-19,PushEvent,61777
2012-06-19,IssueCommentEvent,11268
2012-06-19,GollumEvent,2488
2012-06-19,PullRequestReviewCommentEvent,1370
2012-06-19,PublicEvent,112
2012-06-19,GistEvent,3951
2012-06-19,WatchEvent,13270
2012-06-19,MemberEvent,524
2012-06-20,PushEvent,61348
2012-06-20,DownloadEvent,556
2012-06-20,GistEvent,3745
2012-06-20,MemberEvent,517
2012-06-20,CommitCommentEvent,1459
2012-06-20,IssueCommentEvent,12618
2012-06-20,GollumEvent,2184
2012-06-20,FollowEvent,3168
2012-06-20,ForkEvent,4440
2012-06-20,PublicEvent,120
2012-06-20,PullRequestReviewCommentEvent,1341
2012-06-20,CreateEvent,22231
2012-06-20,PullRequestEvent,4286
2012-06-20,IssuesEvent,10173
2012-06-20,DeleteEvent,724
2012-06-20,WatchEvent,12321
2012-06-21,GollumEvent,2110
2012-06-21,DownloadEvent,518
2012-06-21,IssuesEvent,7271
2012-06-21,PublicEvent,110
2012-06-21,WatchEvent,13172
2012-06-21,PullRequestReviewCommentEvent,995
2012-06-21,CreateEvent,23733
2012-06-21,MemberEvent,496
2012-06-21,IssueCommentEvent,9981
2012-06-21,PushEvent,61223
2012-06-21,PullRequestEvent,4160
2012-06-21,CommitCommentEvent,1449
2012-06-21,GistEvent,3967
2012-06-21,DeleteEvent,788
2012-06-21,FollowEvent,3235
2012-06-21,ForkEvent,4833
2012-06-22,GistEvent,3747
2012-06-22,WatchEvent,12151
2012-06-22,PullRequestEvent,3773
2012-06-22,ForkEvent,4191
2012-06-22,GollumEvent,1886
2012-06-22,CreateEvent,17129
2012-06-22,PublicEvent,136
2012-06-22,IssueCommentEvent,9250
2012-06-22,MemberEvent,459
2012-06-22,IssuesEvent,6979
2012-06-22,DeleteEvent,648
2012-06-22,CommitCommentEvent,1191
2012-06-22,DownloadEvent,595
2012-06-22,PullRequestReviewCommentEvent,938
2012-06-22,FollowEvent,2811
2012-06-22,PushEvent,56826
2012-06-23,GistEvent,3050
2012-06-23,IssueCommentEvent,5293
2012-06-23,CreateEvent,18582
2012-06-23,PushEvent,38903
2012-06-23,GollumEvent,1490
2012-06-23,MemberEvent,285
2012-06-23,PullRequestEvent,2244
2012-06-23,FollowEvent,1841
2012-06-23,CommitCommentEvent,716
2012-06-23,PublicEvent,66
2012-06-23,PullRequestReviewCommentEvent,292
2012-06-23,WatchEvent,7369
2012-06-23,IssuesEvent,3302
2012-06-23,ForkEvent,6285
2012-06-23,DeleteEvent,420
2012-06-23,DownloadEvent,308
2012-06-24,CommitCommentEvent,735
2012-06-24,IssuesEvent,4417
2012-06-24,PullRequestReviewCommentEvent,352
2012-06-24,PublicEvent,73
2012-06-24,PushEvent,42805
2012-06-24,PullRequestEvent,2329
2012-06-24,MemberEvent,273
2012-06-24,DownloadEvent,392
2012-06-24,CreateEvent,17950
2012-06-24,WatchEvent,7708
2012-06-24,GollumEvent,1403
2012-06-24,FollowEvent,1800
2012-06-24,DeleteEvent,380
2012-06-24,IssueCommentEvent,5253
2012-06-24,ForkEvent,2697
2012-06-24,GistEvent,2672
2012-06-25,DeleteEvent,736
2012-06-25,CommitCommentEvent,1444
2012-06-25,MemberEvent,519
2012-06-25,ForkEvent,4738
2012-06-25,PushEvent,60504
2012-06-25,GistEvent,3805
2012-06-25,GollumEvent,2029
2012-06-25,PublicEvent,101
2012-06-25,WatchEvent,12944
2012-06-25,CreateEvent,22664
2012-06-25,PullRequestEvent,4230
2012-06-25,IssuesEvent,6525
2012-06-25,IssueCommentEvent,9725
2012-06-25,FollowEvent,2872
2012-06-25,DownloadEvent,522
2012-06-25,PullRequestReviewCommentEvent,925
2012-06-26,PullRequestReviewCommentEvent,1175
2012-06-26,PushEvent,63784
2012-06-26,DeleteEvent,806
2012-06-26,GistEvent,4339
2012-06-26,IssuesEvent,7471
2012-06-26,CreateEvent,23342
2012-06-26,MemberEvent,487
2012-06-26,FollowEvent,3313
2012-06-26,ForkEvent,4757
2012-06-26,WatchEvent,15400
2012-06-26,PublicEvent,120
2012-06-26,CommitCommentEvent,1301
2012-06-26,DownloadEvent,445
2012-06-26,IssueCommentEvent,10072
2012-06-26,GollumEvent,2330
2012-06-26,PullRequestEvent,4478
2012-06-27,CommitCommentEvent,1298
2012-06-27,MemberEvent,586
2012-06-27,WatchEvent,13476
2012-06-27,CreateEvent,22725
2012-06-27,IssuesEvent,7583
2012-06-27,DownloadEvent,614
2012-06-27,PushEvent,61203
2012-06-27,PublicEvent,133
2012-06-27,GollumEvent,2625
2012-06-27,IssueCommentEvent,10590
2012-06-27,DeleteEvent,767
2012-06-27,FollowEvent,3045
2012-06-27,ForkEvent,4706
2012-06-27,GistEvent,4286
2012-06-27,PullRequestReviewCommentEvent,1284
2012-06-27,PullRequestEvent,4587
2012-06-28,GollumEvent,2358
2012-06-28,PublicEvent,116
2012-06-28,WatchEvent,12643
2012-06-28,GistEvent,3880
2012-06-28,MemberEvent,510
2012-06-28,PushEvent,60036
2012-06-28,DownloadEvent,491
2012-06-28,PullRequestEvent,4282
2012-06-28,FollowEvent,2951
2012-06-28,DeleteEvent,787
2012-06-28,CommitCommentEvent,1280
2012-06-28,PullRequestReviewCommentEvent,1161
2012-06-28,IssueCommentEvent,9961
2012-06-28,ForkEvent,4409
2012-06-28,CreateEvent,22154
2012-06-28,IssuesEvent,12004
2012-06-29,MemberEvent,469
2012-06-29,CommitCommentEvent,1403
2012-06-29,IssuesEvent,15345
2012-06-29,GollumEvent,1814
2012-06-29,GistEvent,3701
2012-06-29,CreateEvent,22577
2012-06-29,PushEvent,56253
2012-06-29,ForkEvent,4006
2012-06-29,PullRequestReviewCommentEvent,876
2012-06-29,DeleteEvent,752
2012-06-29,PullRequestEvent,4038
2012-06-29,WatchEvent,11711
2012-06-29,DownloadEvent,404
2012-06-29,PublicEvent,124
2012-06-29,IssueCommentEvent,20887
2012-06-29,FollowEvent,2906
2012-06-30,IssueCommentEvent,5292
2012-06-30,PublicEvent,79
2012-06-30,WatchEvent,8659
2012-06-30,PullRequestEvent,2019
2012-06-30,IssuesEvent,3331
2012-06-30,GollumEvent,1217
2012-06-30,DownloadEvent,429
2012-06-30,GistEvent,2554
2012-06-30,PushEvent,37431
2012-06-30,PullRequestReviewCommentEvent,425
2012-06-30,CommitCommentEvent,688
2012-06-30,MemberEvent,309
2012-06-30,DeleteEvent,431
2012-06-30,ForkEvent,2996
2012-06-30,CreateEvent,19942
2012-06-30,FollowEvent,1793
2012-07-01,CreateEvent,17030
2012-07-01,WatchEvent,7747
2012-07-01,FollowEvent,1935
2012-07-01,DeleteEvent,405
2012-07-01,GollumEvent,1361
2012-07-01,MemberEvent,240
2012-07-01,GistEvent,2270
2012-07-01,DownloadEvent,380
2012-07-01,PullRequestEvent,2060
2012-07-01,PushEvent,40472
2012-07-01,PublicEvent,63
2012-07-01,IssuesEvent,3603
2012-07-01,IssueCommentEvent,5451
2012-07-01,ForkEvent,2603
2012-07-01,PullRequestReviewCommentEvent,305
2012-07-01,CommitCommentEvent,839
2012-07-02,PullRequestReviewCommentEvent,872
2012-07-02,FollowEvent,3031
2012-07-02,DownloadEvent,597
2012-07-02,PullRequestEvent,4041
2012-07-02,ForkEvent,4219
2012-07-02,CreateEvent,18984
2012-07-02,MemberEvent,474
2012-07-02,IssueCommentEvent,9481
2012-07-02,GollumEvent,2017
2012-07-02,PushEvent,58142
2012-07-02,CommitCommentEvent,1504
2012-07-02,PublicEvent,96
2012-07-02,GistEvent,3730
2012-07-02,DeleteEvent,690
2012-07-02,IssuesEvent,5791
2012-07-02,WatchEvent,12057
2012-07-03,PushEvent,61927
2012-07-03,MemberEvent,526
2012-07-03,PublicEvent,126
2012-07-03,IssuesEvent,5855
2012-07-03,GistEvent,3939
2012-07-03,PullRequestEvent,4432
2012-07-03,DownloadEvent,454
2012-07-03,GollumEvent,2549
2012-07-03,FollowEvent,3210
2012-07-03,IssueCommentEvent,10064
2012-07-03,WatchEvent,12261
2012-07-03,ForkEvent,4501
2012-07-03,PullRequestReviewCommentEvent,1099
2012-07-03,CommitCommentEvent,1518
2012-07-03,CreateEvent,30951
2012-07-03,DeleteEvent,776
2012-07-04,PullRequestEvent,3574
2012-07-04,IssuesEvent,5557
2012-07-04,CreateEvent,23708
2012-07-04,PullRequestReviewCommentEvent,803
2012-07-04,IssueCommentEvent,8609
2012-07-04,ForkEvent,3955
2012-07-04,GollumEvent,1961
2012-07-04,CommitCommentEvent,1306
2012-07-04,PublicEvent,104
2012-07-04,DownloadEvent,463
2012-07-04,WatchEvent,11585
2012-07-04,GistEvent,3763
2012-07-04,DeleteEvent,746
2012-07-04,MemberEvent,4958
2012-07-04,PushEvent,59084
2012-07-04,FollowEvent,2546
2012-07-05,PullRequestEvent,4008
2012-07-05,CommitCommentEvent,1476
2012-07-05,WatchEvent,12888
2012-07-05,CreateEvent,30843
2012-07-05,DeleteEvent,737
2012-07-05,DownloadEvent,495
2012-07-05,ForkEvent,4236
2012-07-05,FollowEvent,2991
2012-07-05,IssueCommentEvent,9137
2012-07-05,GistEvent,3527
2012-07-05,IssuesEvent,5476
2012-07-05,MemberEvent,9437
2012-07-05,GollumEvent,2377
2012-07-05,PublicEvent,143
2012-07-05,PushEvent,65855
2012-07-05,PullRequestReviewCommentEvent,861
2012-07-06,PublicEvent,97
2012-07-06,PullRequestEvent,4312
2012-07-06,CommitCommentEvent,1431
2012-07-06,ForkEvent,4154
2012-07-06,GollumEvent,2103
2012-07-06,CreateEvent,19253
2012-07-06,PullRequestReviewCommentEvent,974
2012-07-06,IssueCommentEvent,9898
2012-07-06,GistEvent,3840
2012-07-06,PushEvent,61528
2012-07-06,DeleteEvent,753
2012-07-06,WatchEvent,12957
2012-07-06,FollowEvent,3988
2012-07-06,IssuesEvent,5613
2012-07-06,DownloadEvent,542
2012-07-06,MemberEvent,3854
2012-07-07,IssuesEvent,3671
2012-07-07,ForkEvent,3437
2012-07-07,GistEvent,2685
2012-07-07,GollumEvent,1878
2012-07-07,FollowEvent,1860
2012-07-07,PushEvent,41485
2012-07-07,MemberEvent,1620
2012-07-07,WatchEvent,8765
2012-07-07,CreateEvent,11787
2012-07-07,PullRequestReviewCommentEvent,385
2012-07-07,IssueCommentEvent,5384
2012-07-07,CommitCommentEvent,753
2012-07-07,DownloadEvent,391
2012-07-07,DeleteEvent,415
2012-07-07,PublicEvent,60
2012-07-07,PullRequestEvent,3099
2012-07-08,PublicEvent,61
2012-07-08,ForkEvent,2587
2012-07-08,GollumEvent,1650
2012-07-08,IssuesEvent,3850
2012-07-08,WatchEvent,8920
2012-07-08,PullRequestReviewCommentEvent,343
2012-07-08,DeleteEvent,499
2012-07-08,CreateEvent,11099
2012-07-08,PushEvent,43431
2012-07-08,GistEvent,2730
2012-07-08,MemberEvent,1319
2012-07-08,FollowEvent,1870
2012-07-08,PullRequestEvent,2011
2012-07-08,DownloadEvent,408
2012-07-08,IssueCommentEvent,5633
2012-07-08,CommitCommentEvent,948
2012-07-09,PublicEvent,121
2012-07-09,MemberEvent,3176
2012-07-09,IssuesEvent,7800
2012-07-09,ForkEvent,4349
2012-07-09,DownloadEvent,535
2012-07-09,FollowEvent,3178
2012-07-09,IssueCommentEvent,10618
2012-07-09,PushEvent,63759
2012-07-09,DeleteEvent,704
2012-07-09,CreateEvent,18047
2012-07-09,GollumEvent,2543
2012-07-09,CommitCommentEvent,1484
2012-07-09,WatchEvent,13744
2012-07-09,PullRequestEvent,4314
2012-07-09,GistEvent,3800
2012-07-09,PullRequestReviewCommentEvent,899
2012-07-10,PullRequestEvent,4731
2012-07-10,ForkEvent,4986
2012-07-10,PushEvent,67379
2012-07-10,GistEvent,4178
2012-07-10,PublicEvent,133
2012-07-10,IssueCommentEvent,12879
2012-07-10,CommitCommentEvent,1586
2012-07-10,FollowEvent,4548
2012-07-10,PullRequestReviewCommentEvent,1217
2012-07-10,DownloadEvent,549
2012-07-10,IssuesEvent,8739
2012-07-10,DeleteEvent,964
2012-07-10,WatchEvent,14469
2012-07-10,MemberEvent,2020
2012-07-10,GollumEvent,2704
2012-07-10,CreateEvent,19272
2012-07-11,WatchEvent,13844
2012-07-11,DeleteEvent,874
2012-07-11,IssueCommentEvent,11034
2012-07-11,PullRequestEvent,4689
2012-07-11,PublicEvent,148
2012-07-11,CommitCommentEvent,1648
2012-07-11,DownloadEvent,628
2012-07-11,IssuesEvent,6726
2012-07-11,CreateEvent,15771
2012-07-11,PullRequestReviewCommentEvent,1171
2012-07-11,PushEvent,65577
2012-07-11,GollumEvent,2770
2012-07-11,GistEvent,4387
2012-07-11,ForkEvent,4736
2012-07-11,FollowEvent,3746
2012-07-11,MemberEvent,1421
2012-07-12,CommitCommentEvent,1540
2012-07-12,IssueCommentEvent,10433
2012-07-12,IssuesEvent,6622
2012-07-12,PullRequestEvent,4846
2012-07-12,ForkEvent,4569
2012-07-12,PullRequestReviewCommentEvent,1003
2012-07-12,GistEvent,4806
2012-07-12,DownloadEvent,488
2012-07-12,GollumEvent,2550
2012-07-12,MemberEvent,2250
2012-07-12,WatchEvent,12426
2012-07-12,FollowEvent,4204
2012-07-12,DeleteEvent,867
2012-07-12,CreateEvent,17356
2012-07-12,PushEvent,66280
2012-07-12,PublicEvent,162
2012-07-13,MemberEvent,1686
2012-07-13,DownloadEvent,462
2012-07-13,IssuesEvent,23012
2012-07-13,PullRequestReviewCommentEvent,1201
2012-07-13,PushEvent,62320
2012-07-13,GollumEvent,2594
2012-07-13,FollowEvent,3289
2012-07-13,PublicEvent,112
2012-07-13,PullRequestEvent,4784
2012-07-13,GistEvent,4583
2012-07-13,CommitCommentEvent,1509
2012-07-13,WatchEvent,13032
2012-07-13,DeleteEvent,832
2012-07-13,CreateEvent,23135
2012-07-13,ForkEvent,4504
2012-07-13,IssueCommentEvent,11391
2012-07-14,CreateEvent,119993
2012-07-14,MemberEvent,968
2012-07-14,PushEvent,37807
2012-07-14,GistEvent,2877
2012-07-14,PullRequestEvent,2382
2012-07-14,PublicEvent,61
2012-07-14,PullRequestReviewCommentEvent,474
2012-07-14,DownloadEvent,309
2012-07-14,DeleteEvent,494
2012-07-14,CommitCommentEvent,835
2012-07-14,ForkEvent,2761
2012-07-14,IssuesEvent,3553
2012-07-14,WatchEvent,7780
2012-07-14,IssueCommentEvent,5648
2012-07-14,FollowEvent,1972
2012-07-14,GollumEvent,1637
2012-07-15,GollumEvent,1663
2012-07-15,ForkEvent,2957
2012-07-15,CreateEvent,113202
2012-07-15,PushEvent,41543
2012-07-15,PublicEvent,53
2012-07-15,WatchEvent,7710
2012-07-15,IssueCommentEvent,5218
2012-07-15,PullRequestReviewCommentEvent,669
2012-07-15,GistEvent,3038
2012-07-15,CommitCommentEvent,766
2012-07-15,IssuesEvent,3592
2012-07-15,FollowEvent,1891
2012-07-15,MemberEvent,737
2012-07-15,PullRequestEvent,2150
2012-07-15,DeleteEvent,407
2012-07-15,DownloadEvent,331
2012-07-16,PublicEvent,129
2012-07-16,CommitCommentEvent,1398
2012-07-16,DeleteEvent,823
2012-07-16,PushEvent,59833
2012-07-16,FollowEvent,3281
2012-07-16,CreateEvent,14890
2012-07-16,IssueCommentEvent,10267
2012-07-16,GistEvent,4105
2012-07-16,ForkEvent,4648
2012-07-16,PullRequestReviewCommentEvent,1076
2012-07-16,PullRequestEvent,4407
2012-07-16,IssuesEvent,6429
2012-07-16,DownloadEvent,513
2012-07-16,WatchEvent,13060
2012-07-16,GollumEvent,2447
2012-07-16,MemberEvent,1221
2012-07-17,PushEvent,64086
2012-07-17,CommitCommentEvent,1723
2012-07-17,WatchEvent,13524
2012-07-17,DeleteEvent,798
2012-07-17,FollowEvent,3651
2012-07-17,IssuesEvent,6352
2012-07-17,GistEvent,4575
2012-07-17,PublicEvent,132
2012-07-17,DownloadEvent,527
2012-07-17,PullRequestEvent,4856
2012-07-17,CreateEvent,15709
2012-07-17,IssueCommentEvent,10928
2012-07-17,PullRequestReviewCommentEvent,1188
2012-07-17,MemberEvent,1288
2012-07-17,GollumEvent,2745
2012-07-17,ForkEvent,4927
2012-07-18,WatchEvent,13637
2012-07-18,PublicEvent,112
2012-07-18,ForkEvent,4392
2012-07-18,DownloadEvent,497
2012-07-18,DeleteEvent,777
2012-07-18,FollowEvent,4081
2012-07-18,GistEvent,4610
2012-07-18,PushEvent,62545
2012-07-18,GollumEvent,2533
2012-07-18,CreateEvent,15161
2012-07-18,CommitCommentEvent,1608
2012-07-18,IssueCommentEvent,10924
2012-07-18,PullRequestReviewCommentEvent,1091
2012-07-18,MemberEvent,1094
2012-07-18,PullRequestEvent,4538
2012-07-18,IssuesEvent,6703
2012-07-19,WatchEvent,13715
2012-07-19,DeleteEvent,821
2012-07-19,IssueCommentEvent,10647
2012-07-19,IssuesEvent,6126
2012-07-19,PublicEvent,110
2012-07-19,PullRequestReviewCommentEvent,1479
2012-07-19,GistEvent,5173
2012-07-19,DownloadEvent,508
2012-07-19,FollowEvent,3740
2012-07-19,CreateEvent,15148
2012-07-19,PushEvent,61800
2012-07-19,MemberEvent,895
2012-07-19,GollumEvent,2456
2012-07-19,CommitCommentEvent,1356
2012-07-19,ForkEvent,4764
2012-07-19,PullRequestEvent,4536
2012-07-20,DeleteEvent,713
2012-07-20,IssueCommentEvent,13610
2012-07-20,GollumEvent,2379
2012-07-20,DownloadEvent,387
2012-07-20,PullRequestEvent,4205
2012-07-20,GistEvent,4269
2012-07-20,PullRequestReviewCommentEvent,1083
2012-07-20,CreateEvent,13745
2012-07-20,MemberEvent,818
2012-07-20,PushEvent,58102
2012-07-20,IssuesEvent,7249
2012-07-20,ForkEvent,4151
2012-07-20,CommitCommentEvent,1284
2012-07-20,FollowEvent,3200
2012-07-20,PublicEvent,89
2012-07-20,WatchEvent,12476
2012-07-21,PullRequestReviewCommentEvent,403
2012-07-21,DownloadEvent,319
2012-07-21,PushEvent,38240
2012-07-21,PublicEvent,56
2012-07-21,FollowEvent,1880
2012-07-21,IssueCommentEvent,5455
2012-07-21,WatchEvent,7769
2012-07-21,IssuesEvent,4274
2012-07-21,CreateEvent,10088
2012-07-21,CommitCommentEvent,705
2012-07-21,PullRequestEvent,2208
2012-07-21,MemberEvent,594
2012-07-21,GollumEvent,1831
2012-07-21,DeleteEvent,413
2012-07-21,ForkEvent,2756
2012-07-21,GistEvent,2693
2012-07-22,FollowEvent,1791
2012-07-22,WatchEvent,7673
2012-07-22,MemberEvent,488
2012-07-22,GollumEvent,1787
2012-07-22,IssueCommentEvent,5912
2012-07-22,PushEvent,41919
2012-07-22,DownloadEvent,377
2012-07-22,GistEvent,2575
2012-07-22,IssuesEvent,13830
2012-07-22,DeleteEvent,425
2012-07-22,PullRequestEvent,1970
2012-07-22,CommitCommentEvent,666
2012-07-22,PullRequestReviewCommentEvent,466
2012-07-22,PublicEvent,51
2012-07-22,ForkEvent,2712
2012-07-22,CreateEvent,9270
2012-07-23,MemberEvent,995
2012-07-23,DownloadEvent,495
2012-07-23,GistEvent,3696
2012-07-23,PublicEvent,106
2012-07-23,PullRequestReviewCommentEvent,1117
2012-07-23,IssueCommentEvent,10149
2012-07-23,IssuesEvent,5732
2012-07-23,FollowEvent,3192
2012-07-23,CreateEvent,14555
2012-07-23,WatchEvent,13130
2012-07-23,PullRequestEvent,4507
2012-07-23,PushEvent,60636
2012-07-23,GollumEvent,2415
2012-07-23,ForkEvent,4461
2012-07-23,CommitCommentEvent,1473
2012-07-23,DeleteEvent,786
2012-07-24,PullRequestReviewCommentEvent,1382
2012-07-24,PullRequestEvent,4900
2012-07-24,IssuesEvent,6569
2012-07-24,GistEvent,4581
2012-07-24,GollumEvent,2552
2012-07-24,MemberEvent,853
2012-07-24,WatchEvent,13838
2012-07-24,CommitCommentEvent,1593
2012-07-24,PublicEvent,135
2012-07-24,FollowEvent,3415
2012-07-24,CreateEvent,15670
2012-07-24,ForkEvent,4777
2012-07-24,DeleteEvent,923
2012-07-24,DownloadEvent,435
2012-07-24,IssueCommentEvent,10327
2012-07-24,PushEvent,62819
2012-07-25,PublicEvent,117
2012-07-25,PullRequestReviewCommentEvent,1044
2012-07-25,DownloadEvent,428
2012-07-25,FollowEvent,3387
2012-07-25,GollumEvent,2573
2012-07-25,CommitCommentEvent,1553
2012-07-25,DeleteEvent,821
2012-07-25,CreateEvent,16348
2012-07-25,MemberEvent,874
2012-07-25,WatchEvent,13333
2012-07-25,PullRequestEvent,4667
2012-07-25,PushEvent,61767
2012-07-25,GistEvent,4030
2012-07-25,IssueCommentEvent,10356
2012-07-25,IssuesEvent,6373
2012-07-25,ForkEvent,4606
2012-07-26,PublicEvent,132
2012-07-26,PullRequestReviewCommentEvent,1108
2012-07-26,IssuesEvent,6663
2012-07-26,WatchEvent,13600
2012-07-26,PullRequestEvent,4466
2012-07-26,FollowEvent,3529
2012-07-26,DeleteEvent,761
2012-07-26,IssueCommentEvent,10356
2012-07-26,CreateEvent,14465
2012-07-26,PushEvent,61365
2012-07-26,MemberEvent,690
2012-07-26,CommitCommentEvent,1378
2012-07-26,ForkEvent,4561
2012-07-26,DownloadEvent,451
2012-07-26,GollumEvent,2487
2012-07-26,GistEvent,4442
2012-07-27,IssueCommentEvent,9587
2012-07-27,PullRequestReviewCommentEvent,1046
2012-07-27,CommitCommentEvent,1243
2012-07-27,GistEvent,4051
2012-07-27,PullRequestEvent,4061
2012-07-27,FollowEvent,3443
2012-07-27,PublicEvent,107
2012-07-27,PushEvent,57143
2012-07-27,WatchEvent,12705
2012-07-27,GollumEvent,2294
2012-07-27,DeleteEvent,690
2012-07-27,IssuesEvent,5927
2012-07-27,MemberEvent,738
2012-07-27,DownloadEvent,532
2012-07-27,CreateEvent,13354
2012-07-27,ForkEvent,4224
2012-07-28,PullRequestEvent,2301
2012-07-28,MemberEvent,525
2012-07-28,PullRequestReviewCommentEvent,397
2012-07-28,WatchEvent,8033
2012-07-28,FollowEvent,2178
2012-07-28,CommitCommentEvent,718
2012-07-28,CreateEvent,9443
2012-07-28,IssuesEvent,3682
2012-07-28,DeleteEvent,424
2012-07-28,DownloadEvent,351
2012-07-28,PushEvent,37094
2012-07-28,PublicEvent,48
